timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692855510461,211,HTTP Request-0,301,Moved Permanently,Thread Group 1-36,text,true,,654,119,72,72,http://www.saucedemo.com/,211,0,106
1692855510673,470,HTTP Request-1,200,OK,Thread Group 1-36,text,true,,3293,119,72,72,https://www.saucedemo.com/,469,0,345
1692855510529,632,HTTP Request,200,OK,Thread Group 1-48,text,true,,3947,238,71,71,https://www.saucedemo.com/,297,0,200
1692855510529,297,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,654,119,71,71,http://www.saucedemo.com/,297,0,200
1692855510827,334,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,3293,119,71,71,https://www.saucedemo.com/,334,0,249
1692855510628,535,HTTP Request,200,OK,Thread Group 1-51,text,true,,3947,238,70,70,https://www.saucedemo.com/,195,0,89
1692855510628,195,HTTP Request-0,301,Moved Permanently,Thread Group 1-51,text,true,,654,119,70,70,http://www.saucedemo.com/,195,0,89
1692855510824,339,HTTP Request-1,200,OK,Thread Group 1-51,text,true,,3293,119,70,70,https://www.saucedemo.com/,339,0,252
1692855510585,578,HTTP Request,200,OK,Thread Group 1-50,text,true,,3947,238,70,70,https://www.saucedemo.com/,203,0,101
1692855510585,203,HTTP Request-0,301,Moved Permanently,Thread Group 1-50,text,true,,654,119,70,70,http://www.saucedemo.com/,203,0,101
1692855510788,375,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,3293,119,70,70,https://www.saucedemo.com/,375,0,285
1692855510624,548,HTTP Request,200,OK,Thread Group 1-52,text,true,,3947,238,68,68,https://www.saucedemo.com/,201,0,95
1692855510624,201,HTTP Request-0,301,Moved Permanently,Thread Group 1-52,text,true,,654,119,68,68,http://www.saucedemo.com/,201,0,95
1692855510826,346,HTTP Request-1,200,OK,Thread Group 1-52,text,true,,3293,119,68,68,https://www.saucedemo.com/,346,0,262
1692855510644,533,HTTP Request,200,OK,Thread Group 1-58,text,true,,3950,238,67,67,https://www.saucedemo.com/,182,0,84
1692855510644,182,HTTP Request-0,301,Moved Permanently,Thread Group 1-58,text,true,,654,119,67,67,http://www.saucedemo.com/,182,0,84
1692855510827,350,HTTP Request-1,200,OK,Thread Group 1-58,text,true,,3296,119,67,67,https://www.saucedemo.com/,350,0,263
1692855510627,574,HTTP Request,200,OK,Thread Group 1-53,text,true,,3947,238,66,66,https://www.saucedemo.com/,139,0,69
1692855510627,139,HTTP Request-0,301,Moved Permanently,Thread Group 1-53,text,true,,654,119,66,66,http://www.saucedemo.com/,139,0,69
1692855510766,435,HTTP Request-1,200,OK,Thread Group 1-53,text,true,,3293,119,66,66,https://www.saucedemo.com/,435,0,337
1692855510631,581,HTTP Request,200,OK,Thread Group 1-56,text,true,,3947,238,65,65,https://www.saucedemo.com/,196,0,98
1692855510631,196,HTTP Request-0,301,Moved Permanently,Thread Group 1-56,text,true,,654,119,65,65,http://www.saucedemo.com/,196,0,98
1692855510828,384,HTTP Request-1,200,OK,Thread Group 1-56,text,true,,3293,119,65,65,https://www.saucedemo.com/,384,0,291
1692855510630,592,HTTP Request,200,OK,Thread Group 1-55,text,true,,3947,238,64,64,https://www.saucedemo.com/,192,0,86
1692855510630,199,HTTP Request-0,301,Moved Permanently,Thread Group 1-55,text,true,,654,119,64,64,http://www.saucedemo.com/,192,0,86
1692855510829,393,HTTP Request-1,200,OK,Thread Group 1-55,text,true,,3293,119,64,64,https://www.saucedemo.com/,393,0,304
1692855510706,523,HTTP Request,200,OK,Thread Group 1-63,text,true,,3947,238,63,63,https://www.saucedemo.com/,203,0,119
1692855510706,203,HTTP Request-0,301,Moved Permanently,Thread Group 1-63,text,true,,654,119,63,63,http://www.saucedemo.com/,203,0,119
1692855510913,316,HTTP Request-1,200,OK,Thread Group 1-63,text,true,,3293,119,63,63,https://www.saucedemo.com/,309,0,235
1692855510751,516,HTTP Request,200,OK,Thread Group 1-70,text,true,,3947,238,62,62,https://www.saucedemo.com/,160,0,89
1692855510751,160,HTTP Request-0,301,Moved Permanently,Thread Group 1-70,text,true,,654,119,62,62,http://www.saucedemo.com/,160,0,89
1692855510912,355,HTTP Request-1,200,OK,Thread Group 1-70,text,true,,3293,119,62,62,https://www.saucedemo.com/,355,0,237
1692855510746,551,HTTP Request,200,OK,Thread Group 1-68,text,true,,3947,238,61,61,https://www.saucedemo.com/,218,0,110
1692855510763,536,HTTP Request,200,OK,Thread Group 1-71,text,true,,3947,238,61,61,https://www.saucedemo.com/,204,0,98
1692855510763,204,HTTP Request-0,301,Moved Permanently,Thread Group 1-71,text,true,,654,119,61,61,http://www.saucedemo.com/,204,0,98
